background,background_group,kind,output_v3,snr_db,source_clean,source_group,split
,,clean,output_v4/train/drone/clean_DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669.wav,,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669.wav,dji_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749,train
output_v4/background_pool/air_conditioner_fold9_165454_8.wav,air_conditioner_air,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669_00_air_conditioner_fold9_165454_8.wav,14.956,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669.wav,dji_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749,train
output_v4/background_pool/drilling_fold2_76086_36.wav,drilling_drilling,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669_01_drilling_fold2_76086_36.wav,13.648,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669.wav,dji_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749,train
output_v4/background_pool/engine_idling_fold10_39847_0.wav,engine_idling_engine,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669_02_engine_idling_fold10_39847_0.wav,-4.808,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669.wav,dji_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749,train
output_v4/background_pool/drilling_fold2_59594_4.wav,drilling_drilling,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669_03_drilling_fold2_59594_4.wav,-0.896,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749_seg_001_0000000_0002669.wav,dji_drones_noise_comparson_seg_002_0008149_0011899_0001200_0003749,train
,,clean,output_v4/train/drone/clean_DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,dji_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000,train
output_v4/background_pool/air_conditioner_fold8_162103_5.wav,air_conditioner_air,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120_00_air_conditioner_fold8_162103_5.wav,-2.153,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,dji_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000,train
output_v4/background_pool/siren_fold6_124389_1.wav,siren_siren,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120_01_siren_fold6_124389_1.wav,9.017,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,dji_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000,train
output_v4/background_pool/air_conditioner_fold4_195969_22.wav,air_conditioner_air,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120_02_air_conditioner_fold4_195969_22.wav,11.399,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,dji_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000,train
output_v4/background_pool/siren_fold2_159750_5.wav,siren_siren,augmented,output_v4/train/drone/aug_DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120_03_siren_fold2_159750_5.wav,-0.265,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,dji_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000,train
