bucket,segment_name,segment_path,segment_sha1,source_file,source_group,source_sha1
clean,DJI_drones_noise_comparson_seg_019_0069497_0073497_0001000_0004000_seg_001_0000000_0003120.wav,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_019_0069497_0073497_0001000_0004000_seg_001_0000000_0003120.wav,1f9dde90f2e61eae4d4b74d8c8355995015a798c,source/DJI_drones_noise_comparson_seg_019_0069497_0073497_0001000_0004000.wav,dji_drones_noise_comparson_seg_019_0069497_0073497_0001000_0004000,aac81f39a3b994022eff225920d43020b9f24a2a
quarantine_uncertain,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_008_0025578_0029578_0001000_0004000_seg_001_0000000_0002769.wav,output_v4/quarantine_uncertain/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_008_0025578_0029578_0001000_0004000_seg_001_0000000_0002769.wav,5b24fa96544776734fddecb0b9033853e5ae40b7,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_008_0025578_0029578_0001000_0004000.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_008_0025578_0029578_0001000_0004000,6357f70827f4ed8c6c9477d6ebac5dbf079eb896
clean,DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000_seg_001_0000000_0003120.wav,3c7fe7fe41c031a8547d5051c328686241034118,source/DJI_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000.wav,dji_drones_noise_comparson_seg_003_0016229_0020229_0001000_0004000,2f39ec5b5048032c0f50f80f5b7fb3c6052ca771
quarantine_uncertain,DJI_drones_noise_comparson_seg_021_0076997_0080997_0001000_0004000_seg_001_0001629_0003120.wav,output_v4/quarantine_uncertain/DJI_drones_noise_comparson_seg_021_0076997_0080997_0001000_0004000_seg_001_0001629_0003120.wav,c840ad6445052efda51941f4cbe319669c1283a0,source/DJI_drones_noise_comparson_seg_021_0076997_0080997_0001000_0004000.wav,dji_drones_noise_comparson_seg_021_0076997_0080997_0001000_0004000,e735a32b83c96d12b1abc6e3e3c0688478c55158
clean,DJI_drones_noise_comparson_seg_017_0061997_0065997_0001000_0004000_seg_001_0000000_0003120.wav,output_v4/clean_drone_segments/DJI_drones_noise_comparson_seg_017_0061997_0065997_0001000_0004000_seg_001_0000000_0003120.wav,7f2c3a4b1f9a92f36f957eef03c060c8f47827cd,source/DJI_drones_noise_comparson_seg_017_0061997_0065997_0001000_0004000.wav,dji_drones_noise_comparson_seg_017_0061997_0065997_0001000_0004000,f3f92cafe4a8db05a9ebb021e7f4e5d39f6b38a4
clean,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_013_0044328_0048328_0001600_0004000_seg_001_0000229_0002520.wav,output_v4/clean_drone_segments/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_013_0044328_0048328_0001600_0004000_seg_001_0000229_0002520.wav,9ebe38b367782fb530081afe12546b57008a6c3d,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_013_0044328_0048328_0001600_0004000.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_013_0044328_0048328_0001600_0004000,28217ac7db96c5a09164e3edf9f97564f85caaa9
clean,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_015_0051828_0055828_0001000_0004000_seg_001_0000000_0003120.wav,output_v4/clean_drone_segments/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_015_0051828_0055828_0001000_0004000_seg_001_0000000_0003120.wav,04bbf8051a5907352ee2864bb2fad3de0ae7dd60,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_015_0051828_0055828_0001000_0004000.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_015_0051828_0055828_0001000_0004000,3e1e4bf1b4c0a80736835bf3c029bc082cc0c4f2
clean,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_016_0055578_0059466_0001000_0003529_seg_001_0000000_0002649.wav,output_v4/clean_drone_segments/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_016_0055578_0059466_0001000_0003529_seg_001_0000000_0002649.wav,472ac852956544d7a463d9ffbb81322d381be606,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_016_0055578_0059466_0001000_0003529.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_016_0055578_0059466_0001000_0003529,cba3129f76a0f700516b30b876e7d66cbcd4e265
clean,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_014_0048048_0052048_0001000_0004000_seg_001_0000000_0003120.wav,output_v4/clean_drone_segments/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_014_0048048_0052048_0001000_0004000_seg_001_0000000_0003120.wav,0799d56c2b5d70f7706aa7806254045c723e487d,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_014_0048048_0052048_0001000_0004000.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_014_0048048_0052048_0001000_0004000,978978d9558e729581aa7437908f282d4e779c8f
quarantine_uncertain,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_008_0025548_0029548_0002000_0004000_seg_001_0000000_0001719.wav,output_v4/quarantine_uncertain/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_008_0025548_0029548_0002000_0004000_seg_001_0000000_0001719.wav,b3c15d2f3e8aac95c2f2697ef9fbe23390d410cf,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_008_0025548_0029548_0002000_0004000.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_008_0025548_0029548_0002000_0004000,b95bdc25c86545b52e0a491f51e785feea2456aa
clean,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_011_0036828_0040828_0001000_0004000_seg_001_0000000_0003120.wav,output_v4/clean_drone_segments/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_011_0036828_0040828_0001000_0004000_seg_001_0000000_0003120.wav,d21b8e3e3c1a64e9a962a4e28a4c987decaa3fa9,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_011_0036828_0040828_0001000_0004000.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_011_0036828_0040828_0001000_0004000,74d27387b343b2413dd6d100d1a6ab72450c5942
clean,Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_014_0048078_0052078_0001000_0004000_seg_001_0000000_0003120.wav,output_v4/clean_drone_segments/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_014_0048078_0052078_0001000_0004000_seg_001_0000000_0003120.wav,84cc6c0c4ef125565c3ee1b691e47eea1b236efe,source/Drone_Noise_Test_-_DJI_Avata_vs_DJI_FPV_vs_DJI_Mavic_3_vs_DJI_Air_2S_compared_seg_014_0048078_0052078_0001000_0004000.wav,drone_noise_test_-_dji_avata_vs_dji_fpv_vs_dji_mavic_3_vs_dji_air_2s_compared_seg_014_0048078_0052078_0001000_0004000,290fc09a42f70edf34560cdc39de628ac39df2cd
